ConcurrentExclusiveLock Rust Pipeline stress
duration=1800s, locks=1, workers/lock=4, seed=0x6A09E667F3BCC909
progress: elapsed=60.1s, rounds=88576000, callbacks=480120546
progress: elapsed=120.0s, rounds=173641728, callbacks=942055395
progress: elapsed=180.1s, rounds=264163328, callbacks=1433040450
progress: elapsed=240.0s, rounds=351236096, callbacks=1905166228
progress: elapsed=300.0s, rounds=440524800, callbacks=2388260635
progress: elapsed=360.1s, rounds=532172800, callbacks=2883325959
progress: elapsed=420.1s, rounds=630550528, callbacks=3412532229
progress: elapsed=480.0s, rounds=723464192, callbacks=3914209772
progress: elapsed=540.1s, rounds=814305280, callbacks=4405647379
progress: elapsed=600.0s, rounds=906432512, callbacks=4903531587
progress: elapsed=660.0s, rounds=997732352, callbacks=5397585724
progress: elapsed=720.1s, rounds=1084006400, callbacks=5865176574
progress: elapsed=780.0s, rounds=1176207360, callbacks=6363402374
progress: elapsed=840.0s, rounds=1273204736, callbacks=6886154488
progress: elapsed=900.1s, rounds=1364824064, callbacks=7381225341
progress: elapsed=960.0s, rounds=1457659904, callbacks=7883260038
progress: elapsed=1020.1s, rounds=1547993088, callbacks=8372656535
progress: elapsed=1080.1s, rounds=1637752832, callbacks=8858583487
progress: elapsed=1140.0s, rounds=1722793984, callbacks=9319032144
progress: elapsed=1200.1s, rounds=1814589440, callbacks=9815972412
progress: elapsed=1260.0s, rounds=1910853632, callbacks=10335763638
progress: elapsed=1320.1s, rounds=2005798912, callbacks=10848041673
progress: elapsed=1380.1s, rounds=2100498432, callbacks=11358390447
progress: elapsed=1440.0s, rounds=2190172160, callbacks=11843669035
progress: elapsed=1500.1s, rounds=2280824832, callbacks=12334203493
progress: elapsed=1560.0s, rounds=2369732608, callbacks=12815739868
progress: elapsed=1620.0s, rounds=2462949376, callbacks=13318689549
progress: elapsed=1680.1s, rounds=2554318848, callbacks=13813093528
progress: elapsed=1740.0s, rounds=2641825792, callbacks=14287056324
PASS: 2732232429 randomized Pipeline rounds, 14775380351 validated callbacks
